customerid,pais,estado
8a858ec95afc0922015b080cc25e41f8,NG,Lagos
8a858ede5ca210f0015ca32170645e53,NG,Ogun
8a858f9d5bd44001015bd492e919247f,NG,Nassarawa
8a85890754145ace015429f1960607e4,NG,Lagos
8a858e345bd96da8015be6289d010075,NG,Lagos
8a858fa057e2a0a50157f1ffa5f228a0,NG,Anambra
8a858eab5cf9c4c8015d034b5561731d,NG,Edo
8a858f88578ad68901578bd0502a216a,NG,Nassarawa
8a858f065b1fe50a015b201d16f43102,NG,Lagos
8a858ef45be99ccb015bea1e47041821,NG,Lagos
8a858fd85507735701551173e8c225b2,NG,Lagos
8a85896653f0fed20153f9e6f6f27315,NG,Lagos
8a8589045384bd830153966de1b77ab3,NG,Lagos
8a858e735b86c5e6015b86ca110b0353,NG,Lagos
8a858e655a047d1a015a17be58262943,NG,Zamfara
8a858fcf5591c5cf015597c298cb15d9,NG,Lagos
8a858f285b14dddb015b14f3be5e0e9f,NG,Oyo
8a858eac5ad81473015adb5e13740d62,NG,Lagos
8a8589b953bc23f70153cf2e6d442c45,NG,Rivers
8a858eb95a8f9e4c015a91f3f9dc6d7a,NG,Benue
8a858f1554e294490154e2f7ce342b18,NG,Lagos
8a858e5856b7840c0156c289b8584f4c,NG,Lagos
8a858f3b5c1c5a08015c1c6897ac062b,NG,Lagos
8a85884e548fad6501549e6d40590168,NG,Lagos
8a858e755c118bd7015c11bc925a17a2,NG,Oyo
8a858e5555780ea001557c358eac1a2c,NG,Lagos
8a85886e54beabf90154c3f2f2ba3e59,NG,Lagos
8a858e885c63d379015c686565a0408f,NG,Akwa Ibom
8a858ee755a0c84a0155bf1b6a02583e,NG,Rivers
8a858e615c832be8015c84b0c149554a,NG,Osun
8a858f2c58dc6e680158dd8af7761f24,NG,Lagos
8a858f665c45930d015c490f9e137383,NG,Osun
8a858edf57f78fed0157fdd279342ccf,NG,Oyo
8a858fe758dc437a0159018589dc5df0,NG,Oyo
8a858f2d5853901a01585c79a6021b8f,NG,Lagos
8a8588235375c27f015376d27f982c9e,NG,Lagos
8a858eac5ad81473015ada3690354aac,NG,Osun
8a858f125c5f88b1015c62b300050e57,NG,Lagos
8a858fe8555f401f01556122503615c1,NG,Edo
8a85893d542e18bc0154379710d6562c,NG,Kaduna
8a858e475c127bce015c16667af86900,NG,Ondo
8a858f2f54e28d530155102a418b6307,NG,Lagos
8a858ee55cb156e6015cc0454bef7c77,NG,Delta
8a858e505ad27570015ad3a536d46c46,NG,Kwara
8a858f0056b7cf8e0156b8918d424613,NG,Lagos
8a858e0b5cfa2028015d034211a96a52,NG,Abuja Federal Capital Territory
8a858e655a047d1a015a0daaf9874735,NG,Ogun
8a858e705b3a03c7015b3ceed0d531fb,NG,Abuja Federal Capital Territory
8a858fde56eb02280156fb85a2521990,NG,Lagos
8a858e645591c24b01559c74651d5f0e,NG,Ogun
8a858e6c5b5bd8ac015b5c0357581aef,NG,Ogun
8a858fe45a760203015a7f3dd68d6282,NG,Imo
8a858fa95c695f85015c698efbf11b7e,NG,Ogun
8a858e785c8d9167015c9c4faa701884,NG,Lagos
8a858e785a53f8a6015a561b1aaf1610,NG,Oyo
8a858ef358d4a48e0158ee3dafd51a43,NG,Lagos
8a85893d53e2e2f30153f00df3e33622,NG,Lagos
8a858f045556eaa4015568356b2d414c,NG,Lagos
8a858f295c829b43015c82d057832585,NG,Oyo
8a858f6f5b3f095b015b40f2cd163744,NG,Ekiti
8a858f54589736f40158a9a0f1204927,NG,Delta
8a858e8d5d41c5fd015d45762a6400db,NG,Lagos
8a858eb95b3ed48c015b3f2be5056fcd,NG,Kaduna
8a858ff35c1ada43015c1ae99d830a0b,NG,Ogun
8a858ff45be92ea2015be98bc2162c96,NG,Ondo
8a858f6e5cb16eb9015cc423ee197af6,NG,Plateau
8a858f615591c2cc0155965e44ff3633,NG,Lagos
8a858e9b5bcf8546015bcfaf5b680756,NG,Lagos
8a858ede5ca210f0015ca65c957e7a59,NG,Kwara
8a858e875b910dfe015b9b598dfc49c5,NG,Delta
8a85893d53f104eb0154054115f12c61,NG,Abuja Federal Capital Territory
8a858eef5554890501556dcff6f9065f,NG,Lagos
8a858f40577642af01577a506291185a,NG,Abia
8a85892854be331a0154c901e52e390a,NG,Lagos
8a8589a754386216015438a93cd229e8,ES,Canary Islands
8a858f9d5668e3f101566a6e9722794c,NG,Osun
8a8589c253ace09b0153af6ba58f1f31,NG,Lagos
8a858ed65bd3a65c015bd3e9a0ff2664,NG,Lagos
8a858f0f5bfd79d2015c029412b86494,NG,Rivers
8a858f00590ac4e70159170bde1b1880,NG,Lagos
8a858f8d5c82ba66015c8316bc8a3607,NG,Oyo
8a858f315ccb979d015ccfdb46730c21,NG,Abuja Federal Capital Territory
8a858fa25a84fe3b015a852ea1d02175,NG,Lagos
8a858f7958b0a4a80158b47fb32010f3,NG,Niger
8a858e69566ae5b801566ff083790265,PF,
8a858e4854d4be9d0154e1713f106e06,NG,Lagos
8a858e7e5c7cff8b015c7d339f151aaa,NG,Kwara
8a858ea45bd88d04015bd89004950162,NG,Lagos
8a858ff45be92ea2015be98c51742d1f,NG,Lagos
8a858f34588713c201588c59c04b04cd,NG,Lagos
8a858fdc5b583a67015b583f3b8a0552,NG,Anambra
8a858e9f59d692440159da7307f4464e,NG,Rivers
8a858f1554e29449015500deb58f1653,NG,Abuja Federal Capital Territory
8a858eab5cf9c4c8015cfa60fae235fd,NG,Lagos
8a858e955631db4401563ca4a4b03287,NG,Lagos
8a858e17562dc2270156312c4a755edc,NG,Rivers
8a858fe35cd0edad015cd3df1c295c30,NG,Oyo
8a858f25584470aa01584da2a1db5663,NG,Lagos
8a858fbd5cd6054a015ce4de9d8a4c5a,NG,Oyo
8a858fd85b685607015b6cf937f232be,NG,Lagos
8a858e435bedeb4f015beefb8a294d30,NG,Bauchi
8a858fa25bd92c20015be50d818f1890,NG,Rivers
8a858fb557330de10157394d041943fb,NG,Bayelsa
8a858e5b5bd99460015bdf715c7c3f80,NG,Ogun
8a858fc959cbd1500159cd3bbcf57a04,NG,Lagos
8a858fa45bd95e9a015be29a6b136061,NG,Plateau
8a858f725b49c0c0015b4f7c165e4827,NG,Niger
8a858ee758b4c54a0158b7b47c784cda,NG,Oyo
8a858fd45a4260bc015a461db91a3615,NG,Lagos
8a858ee55c830000015c8307702b03dc,NG,Ekiti
8a858f4c5bb597f6015bc3cc1fbb7104,NG,Cross River
8a858f6055f96ad2015604e2b0530828,NG,Oyo
8a858e9156e137c6015705964f291996,NG,Lagos
8a858fa3586d20e001586d8ef15428c1,NG,Lagos
8a858fad5bf85d5e015bfb734316090f,NG,Lagos
8a858f0d58a18ebc0158b0ec239828b8,NG,Lagos
8a858e885c87dee5015c881f237f214b,NG,Lagos
8a858ece5b0142e3015b0a3a7f183339,NG,Lagos
8a858f305c8dd672015c9b6de9735c21,BJ,Littoral
8a858ec75bfd77c4015bfda14bd40a20,NG,Lagos
8a858f9e5a41dfd7015a41f7b0ae1759,NG,Lagos
8a858f225b3dc49e015b3de052f52204,NG,Kaduna
8a858fda5c3b0f1c015c403b1f5c301c,NG,Lagos
8a858f985bee01cb015bf160e3ef4c1d,NG,Abuja Federal Capital Territory
8a858fe95c88ee44015c8c4043291900,NG,Nassarawa
8a858e645afb8f74015afbd64d8b2f9c,NG,Ogun
8a858f735922163501592c4f0de93a51,NG,Oyo
8a858e1158dc4d830159015170547d02,NG,Lagos
8a858fc959bb192f0159bb26fbe70c82,NG,Lagos
8a858f9f5bd99987015be23abcfc07f2,NG,Niger
8a858f98560bbe110156218cd2a94514,NG,Lagos
8a858e655a047d1a015a047d7ad40067,NG,Lagos
8a858e9156e137c601570163db4358c9,NG,Ondo
8a858eff55a090650155a13892552a0b,NG,Ondo
8a858e8d5d41c5fd015d421a1e762278,NG,Ogun
8a858e0256b781d80156c19fddb831ee,NG,Lagos
8a858e8e5ca1f1a8015ca6a8cfcb31f4,NG,Oyo
8a858f6b570f2de901572981cca506b5,NG,Lagos
8a858f6e5cb16eb9015cb56eb47d0a02,NG,Oyo
8a858fa55776f0470157799aa4b33da8,NG,Oyo
8a858e715bd3fa19015bd407028c0450,NG,Lagos
8a858e4f58b9f0b40158d31e17fc2a7e,NG,Nassarawa
8a858eba5b681df4015b6d5c3c7b59b3,NG,Kwara
8a858f5b5bee1b11015bf1b4ffea5abb,NG,Lagos
8a858ef4598857710159898caf3b44f8,NG,Abuja Federal Capital Territory
8a858fe8555f401f01556dbd487e78d5,NG,Kaduna
8a858fbc5cc666c8015cc96695e50338,NG,Delta
8a858ec358dc5c130158e4df91a874b9,NG,Lagos
8a858ee75afc09f4015b003afc7010b1,NG,Lagos
8a85893d53f104eb015400808d86752b,NG,Lagos
8a858fc75cd62882015ce3af160470f5,NG,Lagos
8a858ffd5caca417015cacdb354a2364,NG,Lagos
8a858f165af6a783015af6d939671ccc,NG,Abuja Federal Capital Territory
8a858f3c5c16cadb015c171ebcfb30b6,NG,Rivers
8a858ee0560bc0770156196630ee2e35,NG,Ogun
8a858e705668e167015669c8cc67271a,NG,Lagos
8a858e6059e0a7080159eaed2c724220,NG,Lagos
8a858ec95afc0922015affaaf5992c1a,NG,Abuja Federal Capital Territory
8a858f2f5af5d835015af5db88300242,NG,Lagos
8a858e245b680423015b70e6d3300586,NG,Ogun
8a858fb4563228d201563d09846204bd,NG,Lagos
8a858ebd5b254c8b015b2f8ebbc96477,NG,Lagos
8a858e705b3a03c7015b3c16c087774f,NG,Lagos
8a858f305c8dd672015c970cc60d3014,NG,Ebonyi
8a858ea8580b1fee015814d9ce7f41ec,NG,Ogun
8a858f905c06a9c0015c06db624d043e,NG,Lagos
8a858f6f5b3f095b015b42c2106b08a5,NG,Lagos
8a858e0156b782a10156dfbdd6a1331c,NG,Delta
8a858f08582a51bc01582a7123560822,NG,Ogun
8a858ed45c454c11015c53de37e71789,NG,Kwara
8a858f4c5bd8c7b2015bd902087b273c,NG,Lagos
8a858ecd5b81e1a6015b823c01ee2725,NG,Lagos
8a858ff257048b5001570c67315b660b,NG,Lagos
8a858fab5cd5e1a7015cdbcb4ba75d93,NG,Benue
8a858fb45bb59c21015bba2f3ffe197d,NG,Abuja Federal Capital Territory
8a858e515b38f839015b39083e321384,NG,Lagos
8a858e8e58f6d66f015904a859fd5589,NG,Lagos
8a858e345bd96da8015be3d7c0894a31,NG,Lagos
8a858e135cb22031015cbb1fe09555f4,NG,Lagos
8a858fe55b013a0b015b066bda6811b0,NG,Osun
8a858f545c887b44015c889b346f1575,NG,Bayelsa
8a858fee58d73f5f0158e3e9c6176212,NG,Rivers
8a858eda552adcc201552ebf8deb74ce,NG,Nassarawa
8a858e135c78e673015c794a54092a97,NG,Lagos
8a858f465668e3d601568dd071503445,NG,Lagos
8a858e255557edfe0155702304192a3b,NG,Nassarawa
8a858f0a5bf2ed17015bf34ffdf132c9,NG,Lagos
8a858f525bedff8d015bef8f8f9b6e4a,NG,Ogun
8a85891e53ad0e6b0153af3918bb1d28,NG,Lagos
8a858edf55ca17ba0155d87b4f525cf9,NG,Abuja Federal Capital Territory
8a858f585cf9d48b015d0a258b75758a,NG,Lagos
8a858e6c5c88d145015c8fa5e8122270,NG,Lagos
8a85890253e2f1180153eabcfe945ac3,NG,Plateau
8a858e585693982b01569e0079561fb1,NG,Abuja Federal Capital Territory
8a858e2d5aebef07015aec2e96e372c8,NG,Abuja Federal Capital Territory
8a858f065b1fe50a015b200b42462585,NG,Abuja Federal Capital Territory
8a858e1856aa901b0156b3b683c36060,NG,Lagos
8a858e885b68546c015b7238f22027ba,NG,Lagos
8a858e1d5b2510b2015b2ec1e9541f3c,NG,Lagos
8a858f79588789bd015890be99777cf4,NG,Imo
8a858fd858e2f19a0158f507104665f2,NG,Kwara
8a858fb959b6dfec0159b700765e15e7,NG,Zamfara
8a858f665c2142a0015c2cf209e20a6f,NG,Delta
8a1edbf14734127f0147356fdb1b1eb2,NG,Rivers
8a858ee25b874ecc015b883ecf2f38d8,NG,Kano
8a858e135cb22031015cc0a1aa8e3406,NG,Lagos
8a858fb95bd896cc015bd8a775a70c54,NG,Oyo
8a858fcd5cc5594e015cc57021210c21,NG,Ondo
8a858f0c5cef4be2015cf266791a0b01,NG,Ekiti
8a858fdd54d4dd160154dd94b0107719,NG,Lagos
8a858faf56939fea01569d9c10415018,NG,Ogun
8a858e135cb22031015cbcf1122f779e,NG,Delta
8a858e445add19b4015ae905c37c7b00,NG,Edo
8a858e9b5b47ecc1015b4810b9de1ab0,NG,Lagos
8a858edb5a70bfe0015a760bb8e321a1,NG,Abuja Federal Capital Territory
8a858f5e5566567d015577a80b01201e,NG,Oyo
8a858e6d58b0cc520158bf39027938cf,NG,Lagos
8a858f9a5b33cc48015b33d812b20d0c,NG,Lagos
8a858e735c5a4bed015c5b4894e42483,NG,Enugu
8a858edb5bd936e4015be7eb350a0dfb,NG,Ogun
8a858f985b80ab2c015b81098b8f2c2e,NG,Lagos
8a858e9b5a69f076015a69fd874304e1,NG,Oyo
8a858ed75bb64559015bc5722032662e,NG,Abia
8a858f00590ac4e70159320caa4a190c,NG,Lagos
8a858e6f5cd5e874015ce7931b330a91,NG,Kano
8a858f005b396e23015b397635140a37,NG,Abuja Federal Capital Territory
8a858f615b910db3015b9d5e2cb60865,NG,Osun
8a858fa459e0a1340159e4022e2a7a3c,NG,Lagos
8a858ec05a4c05f2015a4c434c7220ac,NG,Lagos
8a8589d754be350e0154c873af647457,NG,Lagos
8a858f2b5c11cabe015c136a30940ae3,NG,Ogun
8a858e945bee08de015bee8f994f3026,NG,Oyo
8a858f935b8753e6015b87cd4412251d,NG,Abuja Federal Capital Territory
8a858fc9580b91da0158173d53626619,NG,Osun
8a858fe65675195a0156766ebdb042c8,NG,Oyo
8a858fcf5591c5cf015596c7018348b8,NG,Lagos
8a8588c7541e2f4b015432ff754e0971,NG,Lagos
8a858fce5bab3591015bab6202051912,NG,Lagos
8a858eba5591bf2801559680580a1f9e,NG,Oyo
8a858f295c8d307f015c98cd79df18f9,NG,Abuja Federal Capital Territory
8a858f2756cec0a30156e76c4e6f6163,NG,Edo
8a858f265c2187bd015c346b5bb74ea9,NG,Lagos
8a858e495d1e235c015d2cab67f045eb,NG,Lagos
8a858e935cedfe55015cee23feae1e84,NG,Kaduna
8a858899538ddb8e01539eccc3c375fe,NG,Ondo
8a858e9b560bbd6301561e50ee830cbd,NG,Lagos
8a858e015c58ee6a015c592ed3541c4a,NG,Lagos
8a858ef55a46c7c8015a47574114741c,NG,Kwara
8a858f555cacacdf015cafcc2c1c7105,NG,Enugu
8a858efd5ca70688015caae5f9275628,NG,Ogun
8a858faf56b7821c0156cbb2b12c07a8,NG,Lagos
8a858fb1563219690156352b4da842e8,NG,Lagos
8a858f3d5add42e2015ae06ea7645399,NG,Lagos
8a858e1a59cbf7460159cfa0e079219d,NG,Lagos
8a858f6f57b9193a0157d194bbf90ec9,NG,Rivers
8a858ec9590ad35d0159440bfe67201a,NG,Oyo
8a858efb54ccb4820154cdc92e2239fc,NG,Lagos
8a858f1358b9f0740158ce1285e272cc,NG,Adamawa
8a858f935b8753e6015b8a360b650064,NG,Lagos
8a858ea55b58f026015b5c07521824eb,NG,Rivers
8a858e6a5bfd4b54015c0c3c5d021c4c,NG,Abuja Federal Capital Territory
8a858f105a4ed440015a51ffebd57187,NG,Lagos
8a858e215ca77c7f015caa601f6e5976,NG,Gombe
8a85895054be35160154c36a6ba03ea0,NG,Lagos
8a858f255ca276c5015ca5dbc7b90b63,NG,Kaduna
8a390a2150ad97330150aebdd8ef7456,NG,Rivers
8a858e6d58b0cc520158beeb14b22a5a,NG,Rivers
8a858eb35c5f4a42015c6371c0486a4d,NG,Abuja Federal Capital Territory
8a858f665c45930d015c50e26935397d,NG,Abuja Federal Capital Territory
8a858f78550ba10401551b5beb391078,NG,Rivers
8a858f3355ae6a610155b576b37d7dbb,NG,Kaduna
8a8589f35451855401545c6aab952f7d,NG,Lagos
8a858feb55f969560155ff2575dc44f4,NG,Lagos
8a858e2a5cc5bf8f015cc61d74712929,NG,Ogun
8a8588f35438fe1201543d4927a77644,NG,Lagos
8a858f2e5876d7d0015880cff3b96d0c,NG,Lagos
8a858eab5cf9c4c8015d030ef0336efa,NG,Lagos
8a858fa158f8ee8f0158ff1bb2b747e1,NG,Lagos
8a85883353e2e4e40153eca57a9855c6,NG,Lagos
8a858f6c570f2d6601570f4637b10cbc,NG,Lagos
8a858fb15b34a708015b38878020108b,NG,Lagos
8a858f795896e56b0158a47b8be660c5,NG,Ogun
8a85897353d85af80153e0106e264de4,NG,Abuja Federal Capital Territory
8a858e0f58afbace0158c909b63e176b,NG,Ondo
8a858ef85a613c85015a65f7d2321d4f,NG,Imo
8a858e0156b782a10156bcdeedd505a3,NG,Abuja Federal Capital Territory
8a858e8d5c35bc85015c36001c1a1ff2,NG,Abuja Federal Capital Territory
8a858efd5b39cf3d015b3cb3b3882cc7,NG,Lagos
8a858f9c5bb503b8015bb5063bcb021e,NG,Lagos
8a858f905c06a9c0015c0d23489f2f06,NG,Lagos
8a858f415ba54724015ba9263d3152ec,NG,Oyo
8a858e1e54e2aa5a0154e31e842130b6,NG,Lagos
8a858f725b49c0c0015b4efd41913c0f,NG,Abuja Federal Capital Territory
8a5cfa8345d40fb80145dc328532397a,NG,Lagos
8a858e445ca25ee3015ca2d9d82b2276,NG,Akwa Ibom
8a858fdc5c118fd3015c11a211e108b7,NG,Lagos
8a858957536752f3015375a5f55e5eaa,NG,Lagos
8a858fcf5b39c3ba015b3c96e4a8646b,NG,Nassarawa
8a858e035693e029015696c50f545a8b,NG,Anambra
8a858e955cf51403015cf88251eb3019,NG,Abuja Federal Capital Territory
8a858edc554f009d015557f60de97583,NG,Lagos
8a8589b953d0be470153dc27464373c8,NG,Abuja Federal Capital Territory
8a8589b953bc23f70153bcb44fc40b19,NG,Enugu
8a858fbc594a495c01595fadf4a023e6,NG,Lagos
8a858fb75cc4c299015cc53618c94218,NG,Kwara
8a858fad5ccb633e015ccbe337372ab3,NG,Rivers
8a858fee58f7c77e01590774b0054bba,NG,Lagos
8a858e69566ae5b801569187d18d5bba,NG,Abuja Federal Capital Territory
8a858f625c5a3697015c5ac8f5e332b1,NG,Bauchi
8a8588d653a915270153ab10232e304f,NG,Lagos
8a858fdc57ab280a0157add33ef337c4,NG,Plateau
8a858f365668e43901566fc8ed1c23e5,NG,Lagos
8a85893d53f104eb0153fec8703465f1,NG,Lagos
8a858e585beda464015bf183f05c64ff,NG,Plateau
8a858f5b5bee1b11015bf1f46fee071a,NG,Oyo
8a858ec9590ad35d01592b20868f2736,NG,Lagos
8a858f1b5b9136f7015b9fe054cc67b2,NG,Lagos
8a858f5f5b39bb0c015b3b91b59c43d4,NG,Lagos
8a858e7d5b591490015b59618de419b4,NG,Edo
8a858e7655072083015512a46b441f9e,NG,Lagos
8a858fca5c830943015c86ee73095c82,NG,Lagos
8a858e1e54e2aa5a0154e2e87bf317e5,NG,Rivers
8a858fa05c82907b015c82d5933a2b8a,NG,Lagos
8a8589ec54517bf901545877e3dc1652,NG,Lagos
8a858e695d1e075c015d211df3354b8e,NG,Rivers
8a858ef55a46c7c8015a471ac5753f02,NG,Ogun
8a858f855bf2f1ad015bf67271165549,NG,Oyo
8a858fdd5d1844e1015d1858743b13c7,NG,Abuja Federal Capital Territory
8a858fee5863a049015867c0ab2c3bc0,NG,Plateau
8a8588f754a058cb0154b405217f1d65,NG,Cross River
8a858f0a5bf3716c015bf60d479e6efd,NG,Abuja Federal Capital Territory
8a858ff05d128e7c015d12a0962e0c8d,NG,Abuja Federal Capital Territory
8a858fcb5c11f481015c16739d933978,NG,Lagos
8a858f1c5ca1e2f9015ca231612f359e,NG,Ondo
8a858e785c8d9167015c9b7982962ea1,NG,Lagos
8a858e4e5b66d372015b66db5e88070c,NG,Lagos
8a858fa154e2912f0154ee239b0857f0,NG,Kaduna
8a858f3a58a6d6720158aa1561f233c0,NG,Ondo
8a858f435ad25c25015ad29e0ad52b72,NG,Lagos
8a858eee5872716901587644c4391794,NG,Delta
8a858f7a5ca22d3c015ca282b1ac2e08,NG,Lagos
8a858e575bf80f73015bf94be93b55ce,NG,Oyo
8a858eba5c884d2a015c9795b92e7801,NG,Oyo
8a858ed55c63db54015c6e0859c72f24,NG,Abuja Federal Capital Territory
8a858f7d5cf9aef9015cfdca34b13c79,NG,Ekiti
8a858ef85cf9e152015d04fcfbc31f17,NG,Niger
8a858fe8555f401f015572a171e745ed,NG,Abuja Federal Capital Territory
8a858f055c831d5b015c8494b1046178,NG,Abuja Federal Capital Territory
8a858e0256b781d80156bb503f2d71d7,NG,Rivers
8a858fe5569398920156986fc0337f88,NG,Lagos
8a858f775c35b709015c38f9bf933a2e,NG,Kogi
8a858e875cfa37f5015cfce9bc3a3abb,NG,Oyo
8a858e245c214660015c31e74aff1f94,NG,Ogun
8a858e445cd56553015cd93e66b47d16,NG,Abuja Federal Capital Territory
8a858fdc57ab280a0157b277e9ff6d53,NG,Osun
8a858ec65cc6352b015cc9e4d1a71bf1,NG,Lagos
8a858ee45a22cbec015a23631b0c46cf,NG,Kwara
8a858f2c5ca72bae015ca788ffeb3aa3,NG,Abuja Federal Capital Territory
8a858ff35c63d750015c6939de7f2388,NG,Lagos
8a858e5856b7840c0156c183c7966a3a,NG,Lagos
8a858ee25ceeabba015ceec74ea50f9a,NG,Oyo
8a858e8455f96c1c0155f9d5ae7e0d97,NG,Oyo
8a858eb456e0b9490157008699270938,NG,Benue
8a858ebd590802ef01590e00992f511e,NG,Lagos
8a858e405c7d6d65015c7da263c017a1,NG,Lagos
8a858f615591c2cc01559c6b1ae9699d,NG,Oyo
8a85896653e0641c0153e12519674d02,NG,Lagos
8a8589045384bd83015399ab579042b9,NG,Lagos
8a858ec05a9535db015a9b7e03650141,NG,Lagos
8a858f6e5b1a4fd0015b1a555f54042b,NG,Abuja Federal Capital Territory
8a858f795896e56b0158ac9d15f36f1a,NG,Osun
8a858e235bd971a4015bda37fb3d2ef6,NG,Lagos
8a858fee5c795f65015c79b29a141935,NG,Ondo
8a858e7b55deef140155e4ec2be045e7,NG,Lagos
8a858e045cd5b1d6015cd5e4a7971699,NG,Lagos
8a858f975c4582c4015c5659e2d36fce,NG,Lagos
8a858fa7590af88501591230cd1c34b0,NG,Delta
8a858f8b5b630942015b6387bae751b2,NG,Lagos
8a85889b53acd0a20153b21f8fc43a12,NG,Abuja Federal Capital Territory
8a8589b0541e21e401541ec02e000ec4,NG,Ogun
8a858e3e5922ba4301593bdd879f6f02,NG,Lagos
8a858eac5b3ece95015b3f32ac426a41,NG,Kaduna
8a858ea059cb30e40159cbb939584b95,NG,Lagos
8a858e255b910db1015ba0f65f8e3b69,NG,Lagos
8a858ef957365d52015751a2082e3103,NG,Lagos
8a858f165c1c22df015c20a6b4162cc3,NG,Lagos
8a858fc55a85c4fc015a88ddb3041731,NG,Abuja Federal Capital Territory
8a858fec5b5c994b015b5cba37c61d51,NG,Lagos
8a85881053bc33670153c7a0e6ee582e,NG,Lagos
8a858966538deb190153a81904df118e,NG,Lagos
8a858ee05a6b7d75015a6f9509d049af,NG,Lagos
8a858e6f5bce1023015bce19dbbf038d,NG,Abuja Federal Capital Territory
8a858f925d5bfd0a015d5c41ca480d60,NG,Abuja Federal Capital Territory
8a8588dc5384a05f01539af1485135ae,NG,Lagos
8a858e8d56b784480156c5f1019357de,NG,Osun
8a85893d53f104eb01540e7f589775c3,NG,Lagos
8a858f105b433879015b43452276104f,NG,Lagos
8a858e445cd56553015ce5feaf637ede,NG,Delta
8a858e0f5577f579015581d14503059f,NG,Ogun
8a8589045384bd83015384deb3ee0e13,NG,Lagos
8a858e685c217d36015c27c78514225b,NG,Ogun
8a858fee5c795f65015c7c0400af693c,NG,Lagos
8a858e045b495c30015b5317021320fa,NG,Kaduna
8a858ed25bf83782015bfb7756f4006e,NG,Lagos
8a858eb95b3ed48c015b4034cc273ab2,NG,Lagos
8a858fa95b631878015b6401c15973f3,NG,Lagos
8a858ee55cb156e6015cbf58b7d50810,NG,Lagos
8a8588fd53c244bc0153c8251f132fd7,NG,Lagos
8a858f1554e29449015500bf86eb0ecd,NG,Lagos
8a858e3c58537338015864369edf2b32,NG,Oyo
8a858e935cd522f5015cd52dfd3f0936,NG,Lagos
8a2ac4745091002b0150a144bcbe58b7,NG,Kano
8a8588fd53e2e6cf0153ec45be7c1613,NG,Lagos
8a858fcc5cf4a563015cf569a33249a9,NG,Abuja Federal Capital Territory
8a858e0d58625b41015862eadbe32d73,NG,Lagos
8a858eaa55a0b8ae0155ca0b3ad43640,NG,Lagos
8a858eb554d4ccaf0154dcf634184f6e,NG,Edo
8a858ef45bcf0c76015bd27a6eed6adc,NG,Lagos
