loannumber,longitude_gps,latitude_gps,historial,referido,flag,age,parte_mes_pago,due_per_day,account_type,education,employment
2,3.3572047,6.6736015,1,1,1,31,3,766,2,0,2
4,6.992216,4.8309534,1,1,1,41,2,612,2,0,2
2,3.3527862,6.5081435,1,1,1,36,1,766,2,0,2
2,7.3980967,8.9902489,0,1,1,33,3,433,0,0,1
2,3.3822099,6.541528,1,3,1,34,2,433,2,0,2
8,3.3333825,7.1453259,0,1,1,33,1,1150,2,0,2
2,3.3960986,6.5525789,1,1,1,36,1,766,0,0,2
4,7.2881934,9.1053577,0,1,1,39,3,433,2,0,2
7,7.4450653,9.0768353,1,1,1,31,2,650,2,0,0
12,3.2663346,6.5193908,1,1,1,35,3,1466,2,0,2
4,3.2518396,6.462774,0,1,0,43,1,766,2,0,2
2,3.3576273,6.6156295,1,1,1,41,3,433,2,2,2
10,3.2701279,6.5798375,0,1,1,33,3,650,0,2,2
3,3.2858723,6.6848185,1,1,1,42,3,433,2,2,2
2,3.4447173,6.4359098,1,1,1,29,3,766,2,0,2
6,7.34362,9.1514167,1,1,1,34,2,1150,2,0,2
9,3.9005501,7.4253218,1,1,1,37,2,1150,0,2,2
6,3.2949539,6.6100043,1,1,1,32,1,816,2,0,2
2,7.6066558,9.0236601,1,1,1,39,3,433,2,0,2
9,5.2071219,7.2298362,1,1,1,43,2,1150,2,0,2
2,3.5930051,6.4966842,1,1,1,37,2,433,2,0,2
11,6.0028123,9.0602008,1,1,1,30,1,1466,2,0,1
3,3.4823154,6.4275138,1,3,1,38,1,433,2,0,2
7,3.4905746,6.438789,0,1,1,34,2,816,2,2,2
2,3.1270017,6.6744999,0,1,1,55,1,433,2,0,2
9,3.3664198,6.5976928,1,1,1,39,2,1150,0,0,2
2,7.1163843,4.8927909,1,3,1,49,1,733,2,0,2
2,7.027062,4.8300052,1,1,1,35,2,433,2,0,2
6,3.2858505,6.5867365,1,1,0,39,1,433,0,0,2
2,3.3473632,6.5972101,1,1,1,34,1,766,2,0,2
3,3.2975096,6.6020294,1,3,0,31,1,433,2,0,2
3,7.4026336,10.5292298,1,1,0,36,2,1483,2,0,2
2,4.5306913,7.757783,1,1,0,42,3,433,2,0,2
2,3.9787919,7.3898717,1,1,0,30,2,433,2,0,0
4,3.3248839,6.4882979,0,1,0,39,3,766,2,0,2
11,3.3670765,6.5692471,1,1,0,40,3,1150,0,0,2
4,3.4787141,6.6151351,0,1,0,31,1,433,2,0,2
13,3.3137109,6.6492708,0,1,1,34,1,816,0,0,2
7,7.0257568,4.8364665,1,1,1,48,3,766,2,1,2
11,3.2872317,6.5925733,1,1,1,36,3,1750,2,1,2
13,3.3767344,6.5477946,1,1,1,37,2,366,0,2,1
6,7.4572617,9.005805,1,1,1,32,3,383,0,0,2
2,3.4617967,6.42786,1,1,1,38,1,433,2,0,2
3,3.3029379,6.6263662,1,3,0,34,3,766,2,0,0
5,7.6116831,12.9773078,1,1,1,39,3,816,2,0,2
2,3.3982718,6.4489034,1,3,1,32,1,433,2,0,0
4,3.3271381,6.495763,0,1,1,44,1,816,0,0,2
2,7.9117961,5.0372535,1,1,1,39,3,433,2,0,2
2,6.1429231,6.7377853,1,1,1,31,1,766,2,0,2
4,3.3603715,6.4357419,0,1,1,36,1,766,2,0,2
2,7.0105897,4.7762262,1,1,1,31,3,433,2,0,2
7,3.4258698,6.4301778,1,1,1,57,3,1150,2,2,2
2,5.2199203,7.6360513,1,1,1,33,1,433,2,0,2
10,7.1125429,4.9024769,0,1,1,46,2,650,0,2,2
3,3.585785,6.60072,0,1,0,37,1,766,2,0,0
3,3.8682345,7.3814232,1,3,1,35,1,766,2,0,2
3,3.3625978,6.5888607,0,1,1,38,2,433,2,0,2
2,7.0441028,4.8116446,1,1,1,30,1,766,2,0,2
2,3.3989022,6.4498967,1,1,1,41,1,766,2,0,2
5,7.3507889,9.1563868,1,1,1,54,2,612,2,0,2
4,3.3288985,6.507412,1,3,0,31,1,816,2,0,2
10,3.3768682,6.5310263,1,1,1,31,1,650,0,0,1
4,3.3535331,6.703723,1,1,1,35,1,816,2,0,2
4,3.2032326,6.7895778,1,1,1,47,2,816,2,0,2
5,3.6128002,6.4816779,0,1,1,41,1,433,2,0,2
2,3.5141362,6.4515404,1,1,1,29,3,433,2,0,1
9,3.3528548,6.5422168,1,1,1,39,3,650,2,2,2
9,3.9234333,7.430623,1,1,1,28,3,650,0,0,2
2,7.94856,5.0152111,1,1,1,35,3,433,2,0,2
2,4.0079063,7.4250565,1,1,1,37,3,433,2,0,2
5,4.5816276,8.4867694,1,1,1,37,2,816,2,0,2
5,3.5912357,6.4662054,1,1,1,34,2,816,2,0,0
2,3.3446901,6.5544168,1,1,1,39,1,766,2,0,2
4,3.3496532,6.4972031,0,1,1,39,1,766,2,0,2
6,7.421629,9.1070126,1,1,1,36,3,1483,2,0,1
2,4.5564788,8.5058795,1,3,1,35,1,766,2,0,2
4,3.4168724,6.7510385,1,3,1,36,2,816,2,0,0
5,4.5284322,7.4893858,1,3,1,33,1,816,2,0,2
9,8.5394608,11.9796196,1,1,1,46,3,1150,0,0,2
7,7.4102541,9.1122137,1,1,1,38,3,575,2,0,0
2,3.5392135,6.4465964,0,1,1,32,1,433,2,0,2
3,3.3922637,6.5737625,1,1,1,31,2,433,2,0,2
5,5.2131294,7.2125532,1,1,1,32,2,766,2,0,0
2,3.3702298,6.6288104,1,3,1,38,1,433,2,0,2
11,7.7275822,11.0985096,1,1,1,30,1,638,2,0,2
6,3.296138,6.6630858,1,1,1,37,1,1150,0,0,2
3,6.2745432,4.9358492,1,1,1,45,1,433,2,0,2
5,3.3432933,6.6725638,1,1,1,47,1,816,2,0,2
6,3.3394033,6.5161968,1,1,1,41,2,816,2,0,2
4,4.5635709,7.4352078,0,1,1,32,2,433,2,0,2
6,7.4286434,10.522549,1,1,1,42,1,816,2,0,2
11,4.4456425,7.7194497,1,1,1,28,1,1050,0,2,1
3,7.4544065,9.0651996,1,1,1,39,2,433,2,0,2
5,5.6137631,6.37378,1,1,1,32,2,816,2,0,2
2,4.7085967,8.1547883,1,1,0,27,3,766,2,0,2
8,7.0088917,4.898885,1,1,1,44,1,1150,0,0,1
3,7.4208995,8.9442269,0,0,1,42,3,433,2,0,2
9,3.3847199,6.5601357,1,1,0,36,2,800,2,0,1
2,3.3695493,6.6247868,1,1,1,35,1,766,2,0,2
2,4.84996,7.1090767,1,1,0,47,2,433,2,0,2
3,7.635235,12.9694333,0,1,0,33,2,433,2,0,2
2,8.621071,7.7654111,1,1,0,32,3,433,2,0,0
4,7.4390367,9.0298283,0,0,0,33,3,816,2,0,0
2,6.2782537,4.917465,0,1,0,29,2,433,2,0,1
4,3.2601517,6.5914979,0,1,0,56,1,433,2,0,2
7,7.4859826,6.4471929,1,1,0,35,3,650,2,0,2
5,5.0900434,8.1254661,1,1,0,38,3,766,2,0,0
15,3.357165,6.6400564,1,1,1,39,2,638,0,2,2
5,3.3428075,6.5424114,1,1,1,42,1,816,0,2,2
15,7.3714081,8.9922228,0,1,1,42,1,1466,0,0,2
12,3.3789046,6.5025448,0,1,1,40,2,1100,0,2,2
6,6.8059757,6.1490754,1,1,0,38,1,408,0,0,2
4,3.3591107,6.4958469,0,1,1,43,1,433,2,1,2
3,3.328249,7.1478018,1,1,1,39,1,433,2,0,2
2,7.0345541,4.8042933,1,1,1,36,2,433,2,0,2
7,7.3924883,9.0437886,1,1,1,44,1,650,2,0,0
9,3.3547928,6.5057367,1,1,1,34,1,1150,2,0,2
2,3.3831598,6.6290094,1,3,1,36,2,433,2,0,2
2,3.3880267,6.5244783,1,1,1,28,2,433,2,0,2
4,3.3724461,6.6094302,0,1,1,45,1,433,2,0,2
9,3.8735138,7.3447282,1,1,1,38,1,1433,2,0,2
9,5.5353175,8.2401546,1,1,1,56,2,650,0,2,2
2,3.4828186,6.4343754,1,1,1,34,1,433,2,0,2
2,7.3285343,9.1729561,1,1,1,29,1,766,2,0,2
2,3.363275,7.1455067,1,1,1,34,3,433,2,0,2
10,7.0572978,4.8284355,1,1,1,35,2,800,0,2,2
10,3.4011087,6.5320555,0,1,0,41,1,816,2,1,2
2,7.5184632,10.4332387,1,1,1,36,2,766,2,0,2
2,5.2130444,7.2337921,1,3,0,34,3,433,2,0,2
3,3.3687831,6.5076242,1,3,1,32,3,766,2,0,2
2,3.9016131,7.4449291,1,3,1,42,3,433,2,0,2
9,3.3582571,6.5110384,1,1,1,42,2,741,2,0,2
2,8.5400021,12.0201587,1,1,0,39,1,433,2,0,2
5,3.3556068,6.679045,1,1,1,38,1,816,2,0,2
7,3.5011686,6.621517,1,1,1,37,2,1150,0,0,2
10,7.4100712,10.4378213,0,1,0,46,3,766,2,1,2
5,3.2904606,7.1355911,0,1,1,41,1,433,0,2,2
9,3.3960798,6.454808,1,1,1,35,3,1466,2,0,2
2,5.6257814,6.3531135,1,1,1,33,2,433,2,0,2
4,3.9478362,7.3231189,1,3,1,39,2,1150,2,0,0
6,3.3447162,6.5257731,1,1,1,40,1,612,2,0,2
9,3.3736724,6.599502,0,1,1,33,1,816,2,0,2
14,3.3397609,6.6530791,1,1,1,43,1,1466,0,0,2
7,3.2979806,6.6524389,1,1,1,37,3,1150,0,2,2
4,3.3677065,6.6025624,0,1,0,43,2,433,2,0,2
2,4.5846874,7.8167772,1,1,1,40,3,433,2,0,2
5,3.3776402,6.5494327,1,1,1,39,1,816,2,0,0
6,3.2619772,6.7474166,1,3,1,41,3,816,2,0,0
5,3.9666551,6.7710281,1,1,1,33,3,816,2,0,2
3,3.4751271,6.6671021,1,1,1,50,2,433,2,0,0
3,3.4140345,6.4448093,1,1,1,39,2,433,0,0,2
2,5.6554867,5.9319564,1,3,1,29,1,433,2,0,2
5,3.3671743,6.6468445,1,1,1,33,3,816,2,0,2
2,3.3610918,6.5146806,1,1,1,26,1,433,2,0,1
5,5.2015712,7.2669269,1,3,0,33,3,816,2,0,2
3,3.4194295,6.7387095,0,1,0,30,1,433,2,0,2
3,8.5349133,7.7271169,1,3,0,32,3,433,2,0,1
3,7.36137,8.985455,1,3,0,30,2,766,2,0,2
2,5.8384067,5.5684,1,1,0,32,2,433,2,0,2
2,3.4667184,6.8265559,1,3,0,32,2,433,2,0,2
5,7.4419912,10.5309121,1,1,0,42,1,433,0,2,2
10,3.3920415,6.5083978,1,1,1,36,3,800,2,0,2
3,3.3255134,6.5455431,0,1,1,32,1,766,2,0,2
3,14.1305626,11.2571687,1,1,1,33,1,433,2,1,2
8,3.361708,6.5500895,1,1,1,40,1,650,0,2,2
7,5.2529372,7.2668376,0,1,1,34,2,433,2,3,2
10,8.5605562,11.9322772,1,1,0,35,2,800,2,0,2
9,3.3913437,6.530161,0,1,1,27,3,816,0,0,2
2,8.8464408,9.8824985,1,1,1,37,3,766,2,0,2
2,4.5000978,8.4692431,1,1,1,36,3,433,2,0,2
9,3.4976144,6.6229127,1,1,1,28,3,916,0,0,2
2,8.3305756,4.9354937,1,1,1,45,1,433,2,0,0
5,3.354724,6.5184152,1,1,1,34,3,1483,2,0,2
3,4.6052306,8.4832407,1,1,1,35,2,433,2,3,2
2,9.2846221,7.1616144,1,3,1,35,1,766,2,0,2
2,3.3918442,6.451964,1,1,1,37,1,766,2,0,2
3,3.3678461,6.5247326,1,1,1,30,1,433,2,0,2
8,3.9325431,6.8373759,1,1,1,41,3,1150,2,0,2
2,7.4327056,10.5001621,1,3,1,32,3,433,2,0,2
4,3.3808276,6.6017004,1,1,0,36,1,816,2,0,0
4,4.6119802,8.4117766,0,1,1,34,1,766,2,0,2
7,3.2902753,6.6834544,1,1,1,42,1,1150,0,0,2
3,3.917573,6.8204492,1,1,1,30,3,433,2,0,2
2,3.6542233,6.8499258,1,1,1,34,3,433,2,0,2
2,8.3332804,4.9890161,1,1,1,39,3,766,2,0,2
6,3.9114533,7.4366732,1,3,1,30,1,1150,2,0,2
7,3.9233057,7.7805084,0,1,1,33,2,1150,2,0,0
7,3.3611097,6.6235908,1,1,1,43,1,1150,2,0,2
7,3.3292904,6.6701801,1,1,1,29,1,716,0,0,2
7,4.5661847,7.7837704,1,1,1,33,1,766,2,0,2
12,3.4025775,6.6139087,1,1,1,34,1,1150,2,0,2
4,3.3672682,6.523465,1,1,0,41,1,816,2,0,2
4,3.3182749,6.686271,0,1,1,39,3,816,2,0,2
6,3.3765684,6.5090802,1,1,1,37,2,816,1,0,2
14,3.9040904,7.4220429,1,1,1,44,1,1750,0,3,2
3,7.4826001,10.446635,1,1,1,40,2,433,2,0,2
10,3.3833472,6.622821,1,1,1,41,1,1150,2,2,0
5,3.2858263,6.6103735,0,1,1,40,2,433,2,0,2
3,7.0390169,4.8086396,1,1,1,45,3,433,2,2,2
11,3.3296052,6.5025745,0,1,1,51,3,650,2,0,2
9,3.3033117,6.481405,0,1,1,49,1,1150,0,0,2
17,3.338724,6.5244139,0,1,1,30,2,638,0,2,1
2,3.3771647,6.5116812,1,1,1,46,3,433,0,0,2
8,7.430362,10.4847245,1,1,1,40,1,1150,0,0,2
5,3.3255134,6.4636791,1,1,1,35,1,408,2,0,2
3,6.4239287,5.7144113,1,1,1,41,1,433,2,0,2
2,3.3919558,6.5675276,1,1,1,41,2,733,2,0,2
2,7.469311,9.0274759,1,1,1,33,2,433,2,0,2
5,3.8844632,7.3994877,1,1,1,33,1,816,0,0,2
2,3.8770953,7.4266477,1,3,1,34,1,433,2,0,2
8,5.628345,6.4071383,0,1,1,28,3,650,2,0,1
2,7.3238097,9.1424705,1,3,0,35,3,416,2,0,2
3,7.5160943,9.087736,1,1,1,42,3,433,2,0,2
2,3.3645545,6.6348152,1,1,1,50,1,433,2,0,2
2,7.5851805,9.0277413,1,1,1,29,1,433,2,0,2
2,3.3248324,6.5752069,1,1,1,33,2,433,2,0,2
5,2.9913855,6.418329,1,1,1,44,3,1150,2,2,2
4,3.4080441,6.729057,0,1,1,31,2,433,2,0,2
3,3.9456262,7.3964165,1,1,1,48,1,433,2,0,0
5,7.5005417,6.435565,1,1,1,32,3,1483,2,0,2
5,3.3607768,6.646284,1,1,0,40,1,816,2,0,2
6,3.852329,7.3606636,1,3,1,35,1,1150,2,0,2
12,3.3582571,6.6926761,0,1,1,36,1,766,0,2,2
9,3.2519197,6.6076605,1,1,1,28,1,800,0,0,2
2,3.3759467,6.5711267,0,1,1,28,1,766,2,0,2
3,3.4387349,6.4249841,1,3,1,39,3,433,2,0,2
2,3.8612355,7.4148631,1,1,1,40,2,766,2,0,2
2,3.4436583,6.4324727,1,3,1,35,1,766,2,0,2
6,3.5656116,6.5682135,1,1,1,36,2,1150,2,0,2
2,3.9622183,7.45945,1,1,1,44,3,433,2,0,2
5,3.5817836,6.4747637,1,1,1,38,1,650,0,0,2
3,3.2924702,6.5211407,1,1,1,32,3,433,2,0,2
3,3.3314296,6.4590075,1,1,0,43,2,433,2,0,2
6,7.0950736,8.9349165,1,1,1,35,3,1150,2,0,2
5,3.4228638,6.4414262,0,1,0,39,3,766,2,0,2
2,8.559375,11.9926333,1,1,0,39,1,433,2,0,2
10,3.3862318,6.5750342,1,1,1,32,1,1466,0,2,2
3,5.0376865,7.8378889,1,3,1,36,3,433,2,0,2
2,3.4169318,6.4425101,1,3,1,31,2,433,2,0,2
11,3.418587,6.4420573,0,1,1,32,1,1150,0,0,2
2,7.4808561,9.078668,1,1,1,37,1,433,2,0,2
3,3.5185102,6.6632035,1,1,0,42,2,433,2,0,2
2,7.4808491,9.0684754,1,3,1,35,1,433,2,0,2
10,5.5848005,7.1680725,1,1,1,28,2,916,2,0,1
2,7.3586797,8.9866701,1,1,1,44,1,766,2,0,2
2,7.448446,9.0880922,1,1,1,34,3,433,2,0,0
2,3.1257478,6.4945495,0,1,1,28,2,433,0,2,1
10,7.0426503,4.8005818,1,1,1,41,1,1466,2,0,2
2,5.7299345,5.5723186,0,1,0,27,3,766,2,0,2
7,3.472755,6.6917157,1,1,1,28,1,800,0,2,2
2,3.3720348,6.5415485,1,1,1,51,2,766,2,0,2
2,7.1048555,5.5935137,1,1,1,35,1,766,2,0,2
2,5.7550617,5.5649883,1,1,1,47,1,433,2,0,2
5,3.137974,6.6791029,0,1,1,28,1,433,0,0,2
9,3.8005112,7.4133599,1,1,1,37,1,1150,0,2,2
2,3.4329564,6.4596443,1,1,1,35,3,433,2,0,2
4,6.9668239,4.8141037,1,1,1,39,3,1483,2,0,2
2,3.2796334,6.706691,1,1,1,41,1,766,2,0,2
3,3.3546256,6.5978906,1,3,1,37,3,766,2,0,2
10,8.5774688,7.7122482,1,1,1,31,2,650,0,0,2
3,3.329671,7.1328251,1,3,1,39,2,612,2,0,2
3,3.3743221,7.1692306,0,1,0,32,3,766,2,0,2
3,3.8677027,7.3601827,0,1,1,32,1,433,2,0,2
8,5.2143903,7.2626867,0,1,0,35,2,816,0,2,2
3,3.8527746,7.3144128,1,3,1,36,3,433,2,0,2
3,6.9391968,4.882527,0,1,0,36,2,433,2,0,2
5,3.3547928,6.506735,1,1,0,33,1,816,2,2,2
5,7.469935,9.0644283,0,1,1,29,1,766,0,0,2
13,39.8155899,21.4289697,0,1,1,39,3,1466,2,2,2
4,8.3475513,4.9696443,1,1,1,32,1,816,2,0,2
7,3.3524577,6.66905,1,1,1,40,2,1150,2,0,2
3,3.2871067,6.6664043,1,3,0,41,3,766,2,0,2
2,3.3582277,6.6174485,1,1,1,38,3,766,2,0,2
6,3.2472059,6.5343977,1,1,1,39,3,816,2,0,0
3,3.3088565,7.1524047,0,1,0,33,3,766,2,0,0
10,3.3511981,6.6308698,1,1,1,44,2,1100,0,0,2
10,8.8621398,9.9575748,0,1,0,39,1,816,0,0,2
2,3.3619079,6.5184153,0,1,1,31,2,433,2,0,2
17,7.498351,9.0935249,1,1,0,28,3,800,2,0,2
3,3.2368372,6.5574427,0,1,0,30,1,433,2,0,0
2,8.5482595,7.6997503,1,1,0,32,3,433,2,0,2
4,7.6320502,12.9641206,0,1,0,33,2,766,2,0,2
2,3.3502377,7.1381618,1,1,0,27,1,433,2,0,0
9,4.534955,7.8053065,1,1,0,31,2,612,2,0,1
3,3.4988704,6.6157686,1,3,0,39,3,433,2,0,2
2,3.3516668,6.6570189,0,1,0,32,2,766,2,1,2
